title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Ssangyong Tivoli,0.07859078590785908,Ssangyong,SUV,Petrol,0.07692307692307693,Manual,0.15751116468944357,2020,2024-02-26,4,0.591304347826087,9714.285714285714
Seat Leon,0.058943089430894303,Seat,City,Petrol,0.025641025641025633,Manual,0.20819748486259898,2016,2024-02-26,8,0.3519736842105263,10700.0
Volkswagen Golf 7 R Line,0.0989159891598916,Volkswagen,Compact,Petrol,0.051282051282051294,Manual,0.05476862379791227,2017,2024-02-16,7,2.075,13833.333333333334
Volkswagen Golf 7 Highline bva,0.1029810298102981,Volkswagen,City,Diesel,0.051282051282051294,Automatic,0.2164168881339215,2019,2024-02-26,5,0.5443037974683544,14333.333333333334
KIA Sportage,0.14905149051490515,KIA,City,Diesel,0.15384615384615383,Automatic,0.18079947395819065,2018,2024-02-26,6,0.9090909090909091,12000.0
Mercedes-Benz Classe E,0.07859078590785908,Mercedes,Sedan,Diesel,0.15384615384615383,Automatic,0.2588838050357544,201,2024-02-26,1823,0.35978835978835977,6800.0
KIA Rio 5p,0.06097560975609757,KIA,City,Petrol,0.025641025641025633,Manual,0.1054549439710677,2020,2024-02-26,4,0.7142857142857143,11000.0
Land Rover Range Rover Evoque R dynamic SE,0.47154471544715443,Land Rover,SUV,Diesel,0.1282051282051282,Automatic,0.13833255705635772,2024,2024-02-26,0,3.5445544554455446,39777.77777777778
Volkswagen Golf 8 6,0.11517615176151762,Volkswagen,Compact,Petrol,0.051282051282051294,Manual,0.05202882270747144,2021,2024-02-26,3,2.5,15833.333333333334
Isuzu D-Max Double Cabine,0.15989159891598917,Isuzu,Pickup,Diesel,0.10256410256410256,Manual,0.1629907668703252,2017,2024-02-26,7,1.0756302521008403,16000.0
Skoda Octavia,0.056910569105691054,Skoda,Sedan,Petrol,0.07692307692307693,Automatic,0.21504698758870106,2016,2024-02-26,8,0.33121019108280253,7428.571428571428
BMW Série 3,0.09485094850948508,BMW,Sedan,Petrol,0.07692307692307693,Automatic,0.22874599304090523,2016,2024-02-26,8,0.47904191616766467,11428.57142857143
Seat Leon 1.2,0.0562330623306233,Seat,Coupe,Petrol,0.051282051282051294,Manual,0.1520315625085619,2018,2024-02-16,6,0.46396396396396394,8583.333333333334
Land Rover Range Rover Sport HSE DYNAMIC,1.0,Land Rover,SUV,Hybrid Petrol,0.6153846153846154,Automatic,0.13833255705635772,2024,2024-02-26,0,7.405940594059406,26714.285714285714
Mercedes-Benz Classe A Kit AMG,0.09214092140921408,Mercedes,City,Petrol,0.051282051282051294,Automatic,0.0986054412449656,2013,2024-02-26,11,1.0833333333333333,13000.0
Porsche Cayenne V6,0.09214092140921408,Porsche,SUV,Petrol,0.4358974358974359,Automatic,0.21915668922436232,2007,2024-02-16,17,0.4875,3714.285714285714
Volkswagen Golf 8,0.15582655826558267,Volkswagen,City,Hybrid Petrol,0.10256410256410256,Automatic,0.03832981725526727,2020,2024-02-26,4,4.464285714285714,15625.0
Seat Leon,0.052845528455284556,Seat,City,Petrol,0.051282051282051294,Manual,0.25614400394531356,2016,2024-02-26,8,0.2620320855614973,8166.666666666667
Volkswagen Passat,0.07859078590785908,Volkswagen,Sedan,Petrol,0.07692307692307693,Manual,0.21230718649826025,2019,2024-02-26,5,0.43870967741935485,9714.285714285714
Audi Q2,0.09756097560975609,Audi,SUV,Petrol,0.051282051282051294,Automatic,0.10408504342584728,2018,2024-02-26,6,1.0789473684210527,13666.666666666666
Land Rover Range Rover Evoque,0.1964769647696477,Land Rover,SUV,Petrol,0.28205128205128205,Automatic,0.14244225869201896,2016,2024-02-26,8,1.4903846153846154,10333.333333333334
KIA Picanto,0.031165311653116534,KIA,City,Petrol,0.025641025641025633,Automatic,0.2177867886791419,2014,2024-02-26,10,0.20754716981132076,6600.0
BMW Série 7,0.1219512195121951,BMW,City,Petrol,0.6666666666666666,Automatic,0.19175867831995397,201,2024-02-26,1823,0.7142857142857143,3333.3333333333335
Land Rover Range Rover Sport HSE    TU 239,0.30894308943089427,Land Rover,SUV,Petrol,0.5128205128205129,Automatic,0.12326365105893311,2014,2024-02-26,10,2.6444444444444444,9916.666666666666
BMW Série 4 Gran Coupé 418i KIT M GRAN COUPÉ,0.19241192411924118,BMW,Sedan,Petrol,0.07692307692307693,Automatic,0.12326365105893311,2019,2024-02-26,5,1.6888888888888889,21714.285714285714
Mahindra KUV 100,0.04186991869918699,Mahindra,SUV,Petrol,0.025641025641025633,Manual,0.0013425025343160087,2023,2024-02-26,1,40.9,8180.0
Ford Ecosport très propre,0.07181571815718156,Ford,SUV,Petrol,0.07692307692307693,Automatic,0.11915394942327187,2019,2024-02-26,5,0.7241379310344828,9000.0
Mercedes-Benz Classe C,0.14634146341463414,Mercedes,Sedan,Petrol,0.10256410256410256,Automatic,0.18216937450341106,2016,2024-02-26,8,0.8872180451127819,14750.0
Mercedes-Benz GLC,0.27100271002710025,Mercedes,SUV,Petrol,0.20512820512820515,Automatic,0.1136743472423902,2016,2024-02-26,8,2.5301204819277108,17500.0
Alfa Romeo Giulietta,0.08807588075880758,Alfa Romeo,Compact,Petrol,0.07692307692307693,Manual,0.0410696183457081,2019,2024-02-26,5,2.5,10714.285714285714
Porsche Cayenne Coupé,0.575880758807588,Porsche,SUV,Petrol,0.5384615384615384,Automatic,0.07668703252143894,2019,2024-02-26,5,7.767857142857143,17400.0
BMW Série 5,0.2140921409214092,BMW,Sedan,Petrol,0.15384615384615383,Automatic,0.08079673415710019,2017,2024-02-26,7,2.847457627118644,16800.0
KIA Sportage,0.11924119241192412,KIA,SUV,Petrol,0.10256410256410256,Automatic,0.13422285542069645,2019,2024-02-26,5,1.0,12250.0
